ts,src,tc,rh,co2,pm1,pm25,pm4,pm10,voc,nox,vb,flags
1787532840,local,22.2,74.9,1776,,4.4,,,141,1,,0
1787532960,local,22.2,75.0,1781,,4.4,,,142,1,,0
1787532960,bedroom,21.0,78.0,1593,,,,,,,3.471,0
1787533080,local,22.3,75.1,1785,,4.4,,,142,1,,0
1787533200,local,22.3,75.2,1790,,4.4,,,142,1,,0
1787533200,bedroom,21.1,78.2,1602,,,,,,,3.471,0
1787533320,local,22.3,75.2,1795,,4.4,,,142,1,,0
1787533440,local,22.4,75.3,1799,,4.4,,,142,1,,0
1787533560,local,22.4,75.4,1804,,4.4,,,142,1,,0
1787533560,bedroom,21.2,78.4,1613,,,,,,,3.470,0
1787533680,local,22.4,75.5,1808,,4.4,,,143,1,,0
1787533800,local,22.4,75.6,1813,,4.5,,,143,1,,0
1787533800,bedroom,21.2,78.6,1621,,,,,,,3.469,0
1787533920,local,22.5,75.7,1817,,4.5,,,143,1,,0
1787534040,local,22.5,75.8,1822,,4.5,,,143,1,,0
1787534160,local,22.5,75.8,1826,,4.5,,,143,1,,0
1787534160,bedroom,21.3,78.8,1632,,,,,,,3.468,0
1787534280,local,22.6,75.9,1830,,4.5,,,143,1,,0
1787534400,local,22.6,76.0,1834,,4.5,,,144,1,,0
1787534400,bedroom,21.4,79.0,1639,,,,,,,3.468,0
1787534520,local,22.6,76.1,1838,,4.5,,,144,1,,0
1787534640,local,22.6,76.2,1842,,4.5,,,144,1,,0
1787534760,local,22.7,76.3,1846,,4.6,,,144,1,,0
1787534760,bedroom,21.5,79.3,1649,,,,,,,3.467,0
1787534880,local,22.7,76.4,1850,,4.6,,,144,1,,0
1787535000,local,22.7,76.4,1854,,4.6,,,144,1,,0
1787535000,bedroom,21.5,79.4,1656,,,,,,,3.466,0
1787535120,local,22.7,76.5,1857,,4.6,,,145,1,,0
1787535240,local,22.8,76.6,1861,,4.6,,,145,1,,0
1787535360,local,22.8,76.7,1864,,4.6,,,145,1,,0
1787535360,bedroom,21.6,79.7,1665,,,,,,,3.465,0
1787535480,local,22.8,76.8,1868,,4.6,,,145,1,,0
1787535600,local,22.8,76.9,1871,,4.6,,,145,1,,0
1787535600,bedroom,21.6,79.9,1671,,,,,,,3.465,0
1787535720,local,22.8,76.9,1875,,4.6,,,145,1,,0
1787535840,local,22.9,77.0,1878,,4.7,,,146,1,,0
1787535960,local,22.9,77.1,1881,,4.7,,,146,1,,0
1787535960,bedroom,21.7,80.1,1679,,,,,,,3.464,0
1787536080,local,22.9,77.2,1884,,4.7,,,146,1,,0
1787536200,local,22.9,77.3,1887,,4.7,,,146,1,,0
1787536200,bedroom,21.7,80.3,1684,,,,,,,3.463,0
1787536320,local,22.9,77.4,1890,,4.7,,,146,1,,0
1787536440,local,23.0,77.5,1893,,4.7,,,146,1,,0
1787536560,local,23.0,77.5,1896,,4.7,,,147,1,,0
1787536560,bedroom,21.8,80.5,1692,,,,,,,3.462,0
1787536680,local,23.0,77.6,1899,,4.7,,,147,1,,0
1787536800,local,23.0,77.7,1902,,4.7,,,147,1,,0
1787536800,bedroom,21.8,80.7,1696,,,,,,,3.462,0
1787536920,local,23.0,77.8,1904,,4.8,,,147,1,,0
1787537040,local,23.1,77.9,1907,,4.8,,,147,1,,0
1787537160,local,23.1,78.0,1909,,4.8,,,147,1,,0
1787537160,bedroom,21.9,81.0,1703,,,,,,,3.461,0
1787537280,local,23.1,78.0,1912,,4.8,,,148,1,,0
1787537400,local,23.1,78.1,1914,,4.8,,,148,1,,0
1787537400,bedroom,21.9,81.1,1707,,,,,,,3.460,0
1787537520,local,23.1,78.2,1917,,4.8,,,148,1,,0
1787537640,local,23.1,78.3,1919,,4.8,,,148,1,,0
1787537760,local,23.1,78.4,1921,,4.8,,,148,1,,0
1787537760,bedroom,21.9,81.4,1713,,,,,,,3.459,0
1787537880,local,23.2,78.5,1923,,4.8,,,148,1,,0
1787538000,local,23.2,78.5,1925,,4.8,,,148,1,,0
1787538000,bedroom,22.0,81.5,1717,,,,,,,3.459,0
1787538120,local,23.2,78.6,1928,,4.9,,,149,1,,0
1787538240,local,23.2,78.7,1930,,4.9,,,149,1,,0
1787538360,local,23.2,78.8,1932,,4.9,,,149,1,,0
1787538360,bedroom,22.0,81.8,1722,,,,,,,3.458,0
1787538480,local,23.2,78.9,1933,,4.9,,,149,1,,0
1787538600,local,23.2,79.0,1935,,4.9,,,149,1,,0
1787538600,bedroom,22.0,82.0,1725,,,,,,,3.457,0
1787538720,local,23.2,79.1,1937,,4.9,,,149,1,,0
1787538840,local,23.2,79.1,1939,,4.9,,,150,1,,0
1787538960,local,23.3,79.2,1941,,4.9,,,150,1,,0
1787538960,bedroom,22.1,82.2,1730,,,,,,,3.456,0
1787539080,local,23.3,79.3,1942,,4.9,,,150,1,,0
1787539200,local,23.3,79.4,1944,,4.9,,,150,1,,0
1787539200,bedroom,22.1,82.4,1732,,,,,,,3.456,0
1787539320,local,23.3,79.5,1946,,4.9,,,150,1,,0
1787539440,local,23.3,79.6,1947,,4.9,,,150,1,,0
1787539560,local,23.3,79.6,1949,,5.0,,,151,1,,0
1787539560,bedroom,22.1,82.6,1736,,,,,,,3.455,0
1787539680,local,23.3,79.7,1950,,5.0,,,151,1,,0
1787539800,local,23.3,79.8,1952,,5.0,,,151,1,,0
1787539800,bedroom,22.1,82.8,1739,,,,,,,3.454,0
1787539920,local,23.3,79.9,1953,,5.0,,,151,1,,0
1787540040,local,23.3,80.0,1955,,5.0,,,151,1,,0
1787540160,local,23.3,80.1,1956,,5.0,,,151,1,,0
1787540160,bedroom,22.1,83.1,1743,,,,,,,3.453,0
1787540280,local,23.3,80.1,1958,,5.0,,,151,1,,0
1787540400,local,23.3,80.2,1959,,5.0,,,152,1,,0
1787540400,bedroom,22.1,83.2,1745,,,,,,,3.452,0
1787540520,local,23.3,80.3,1960,,5.0,,,152,1,,0
1787540640,local,23.3,80.4,1962,,5.0,,,152,1,,0
1787540760,local,23.3,80.5,1963,,5.0,,,152,1,,0
1787540760,bedroom,22.1,83.5,1749,,,,,,,3.452,0
1787540880,local,23.3,80.5,1964,,5.0,,,152,1,,0
1787541000,local,23.3,80.6,1966,,5.0,,,152,1,,0
1787541000,bedroom,22.1,83.6,1751,,,,,,,3.451,0
1787541120,local,23.3,80.7,1967,,5.1,,,153,1,,0
1787541240,local,23.3,80.8,1968,,5.1,,,153,1,,0
1787541360,local,23.3,80.9,1970,,5.1,,,153,1,,0
1787541360,bedroom,22.1,83.9,1754,,,,,,,3.450,0
1787541480,local,23.3,81.0,1971,,5.1,,,153,1,,0
1787541600,local,23.3,81.0,1972,,5.1,,,153,1,,0
1787541600,bedroom,22.1,84.0,1756,,,,,,,3.449,0
1787541720,local,23.3,81.1,1974,,5.1,,,153,1,,0
1787541840,local,23.3,81.2,1975,,5.1,,,153,1,,0
1787541960,local,23.3,81.3,1976,,5.1,,,154,1,,0
1787541960,bedroom,22.1,84.3,1760,,,,,,,3.449,0
1787542080,local,23.3,81.4,1978,,5.1,,,154,1,,0
1787542200,local,23.3,81.5,1979,,5.1,,,154,1,,0
1787542200,bedroom,22.1,84.5,1762,,,,,,,3.448,0
1787542320,local,23.3,81.5,1980,,5.1,,,154,1,,0
1787542440,local,23.3,81.6,1982,,5.1,,,154,1,,0
1787542560,local,23.3,81.7,1983,,5.1,,,154,1,,0
1787542560,bedroom,22.1,84.7,1766,,,,,,,3.447,0
1787542680,local,23.3,81.8,1985,,5.1,,,155,1,,0
1787542800,local,23.3,81.9,1986,,5.1,,,155,1,,0
1787542800,bedroom,22.1,84.9,1768,,,,,,,3.446,0
1787542920,local,23.2,81.9,1988,,5.1,,,155,1,,0
1787543040,local,23.2,82.0,1989,,5.1,,,155,1,,0
1787543160,local,23.2,82.1,1991,,5.1,,,155,1,,0
1787543160,bedroom,22.0,85.1,1772,,,,,,,3.445,0
1787543280,local,23.2,82.2,1992,,5.1,,,155,1,,0
1787543400,local,23.2,82.3,1994,,5.1,,,155,1,,0
1787543400,bedroom,22.0,85.3,1775,,,,,,,3.445,0
1787543520,local,23.2,82.3,1995,,5.2,,,156,1,,0
1787543640,local,23.2,82.4,1997,,5.2,,,156,1,,0
1787543760,local,23.2,82.5,1999,,5.2,,,156,1,,0
1787543760,bedroom,22.0,85.5,1779,,,,,,,3.444,0
1787543880,local,23.2,82.6,2001,,5.2,,,156,1,,0
1787544000,local,23.1,82.7,2002,,5.2,,,156,1,,0
1787544000,bedroom,21.9,85.7,1782,,,,,,,3.443,0
1787544120,local,23.1,82.8,2004,,5.2,,,156,1,,0
1787544240,local,23.1,82.8,2006,,5.2,,,156,1,,0
1787544360,local,23.1,82.9,2008,,5.2,,,157,1,,0
1787544360,bedroom,21.9,85.9,1787,,,,,,,3.442,0
1787544480,local,23.1,83.0,2010,,5.2,,,157,1,,0
1787544600,local,23.1,83.1,2012,,5.2,,,157,1,,0
1787544600,bedroom,21.9,86.1,1790,,,,,,,3.442,0
1787544720,local,23.0,83.2,2014,,5.2,,,157,1,,0
1787544840,local,23.0,83.2,2016,,5.2,,,157,1,,0
1787544960,local,23.0,83.3,2018,,5.2,,,157,1,,0
1787544960,bedroom,21.8,86.3,1796,,,,,,,3.441,0
1787545080,local,23.0,83.4,2021,,5.2,,,157,1,,0
1787545200,local,23.0,83.5,2023,,5.2,,,158,1,,0
1787545200,bedroom,21.8,86.5,1800,,,,,,,3.440,0
1787545320,local,23.0,83.6,2025,,5.2,,,158,1,,0
1787545440,local,22.9,83.6,2028,,5.2,,,158,1,,0
1787545560,local,22.9,83.7,2030,,5.2,,,158,1,,0
1787545560,bedroom,21.7,86.7,1806,,,,,,,3.439,0
1787545680,local,22.9,83.8,2033,,5.2,,,158,1,,0
1787545800,local,22.9,83.9,2035,,5.2,,,158,1,,0
1787545800,bedroom,21.7,86.9,1810,,,,,,,3.439,0
1787545920,local,22.9,84.0,2038,,5.2,,,158,1,,0
1787546040,local,22.8,84.0,2040,,5.2,,,159,1,,0
1787546160,local,22.8,84.1,2043,,5.2,,,159,1,,0
1787546160,bedroom,21.6,87.1,1817,,,,,,,3.438,0
1787546280,local,22.8,84.2,2046,,5.2,,,159,1,,0
1787546400,local,22.8,84.3,2049,,5.2,,,159,1,,0
1787546400,bedroom,21.6,87.3,1821,,,,,,,3.437,0
1787546520,local,22.8,84.4,2052,,5.2,,,159,1,,0
1787546640,local,22.7,84.4,2055,,5.2,,,159,1,,0
1787546760,local,22.7,84.5,2058,,5.2,,,159,1,,0
1787546760,bedroom,21.5,87.5,1829,,,,,,,3.436,0
1787546880,local,22.7,84.6,2061,,5.2,,,160,1,,0
1787547000,local,22.7,84.7,2064,,5.2,,,160,1,,0
1787547000,bedroom,21.5,87.7,1834,,,,,,,3.436,0
1787547120,local,22.6,84.7,2067,,5.2,,,160,1,,0
1787547240,local,22.6,84.8,2070,,5.2,,,160,1,,0
1787547360,local,22.6,84.9,2074,,5.2,,,160,1,,0
1787547360,bedroom,21.4,87.9,1843,,,,,,,3.435,0
1787547480,local,22.6,85.0,2077,,5.2,,,160,1,,0
1787547600,local,22.5,85.1,2080,,5.2,,,160,1,,0
1787547600,bedroom,21.3,88.1,1848,,,,,,,3.434,0
1787547720,local,22.5,85.1,2084,,5.2,,,161,1,,0
1787547840,local,22.5,85.2,2087,,5.2,,,161,1,,0
1787547960,local,22.5,85.3,2091,,5.2,,,161,1,,0
1787547960,bedroom,21.3,88.3,1857,,,,,,,3.433,0
1787548080,local,22.4,85.4,2094,,5.2,,,161,1,,0
1787548200,local,22.4,85.5,2098,,5.2,,,161,1,,0
1787548200,bedroom,21.2,88.5,1863,,,,,,,3.433,0
1787548320,local,22.4,85.5,2102,,5.2,,,161,1,,0
1787548440,local,22.4,85.6,2106,,5.2,,,161,1,,0
1787548560,local,22.3,85.7,2109,,5.2,,,161,1,,0
1787548560,bedroom,21.1,88.7,1873,,,,,,,3.432,0
1787548680,local,22.3,85.8,2113,,5.2,,,162,1,,0
1787548800,local,22.3,85.8,2117,,5.2,,,162,1,,0
1787548800,bedroom,21.1,88.8,1880,,,,,,,3.431,0
1787548920,local,22.2,85.9,2121,,5.2,,,162,1,,0
1787549040,local,22.2,86.0,2125,,5.2,,,162,1,,0
1787549160,local,22.2,86.1,2129,,5.2,,,162,1,,0
1787549160,bedroom,21.0,89.1,1890,,,,,,,3.430,0
1787549280,local,22.2,86.1,2133,,5.2,,,162,1,,0
1787549400,local,22.1,86.2,2137,,5.2,,,162,1,,0
1787549400,bedroom,20.9,89.2,1897,,,,,,,3.430,0
1787549520,local,22.1,86.3,2142,,5.2,,,163,1,,0
1787549640,local,22.1,86.4,2146,,5.2,,,163,1,,0
1787549760,local,22.1,86.5,2150,,5.1,,,163,1,,0
1787549760,bedroom,20.9,89.5,1908,,,,,,,3.429,0
1787549880,local,22.0,86.5,2154,,5.1,,,163,1,,0
1787550000,local,22.0,86.6,2159,,5.1,,,163,1,,0
1787550000,bedroom,20.8,89.6,1915,,,,,,,3.428,0
1787550120,local,22.0,86.7,2163,,5.1,,,163,1,,0
1787550240,local,21.9,86.8,2167,,5.1,,,163,1,,0
1787550360,local,21.9,86.8,2172,,5.1,,,163,1,,0
1787550360,bedroom,20.7,89.8,1926,,,,,,,3.427,0
1787550480,local,21.9,86.9,2176,,5.1,,,164,1,,0
1787550600,local,21.8,87.0,2181,,5.1,,,164,1,,0
1787550600,bedroom,20.6,90.0,1933,,,,,,,3.427,0
1787550720,local,21.8,87.1,2185,,5.1,,,164,1,,0
1787550840,local,21.8,87.1,2189,,5.1,,,164,1,,0
1787550960,local,21.8,87.2,2194,,5.1,,,164,1,,0
1787550960,bedroom,20.6,90.2,1945,,,,,,,3.426,0
1787551080,local,21.7,87.3,2198,,5.1,,,164,1,,0
1787551200,local,21.7,87.4,2203,,5.1,,,164,1,,0
1787551200,bedroom,20.5,90.4,1952,,,,,,,3.425,0
1787551320,local,21.7,87.4,2207,,5.1,,,164,1,,0
1787551440,local,21.6,87.5,2212,,5.1,,,165,1,,0
1787551560,local,21.6,87.6,2216,,5.1,,,165,1,,0
1787551560,bedroom,20.4,90.6,1964,,,,,,,3.424,0
1787551680,local,21.6,87.7,2221,,5.1,,,165,1,,0
1787551800,local,21.6,87.7,2225,,5.1,,,165,1,,0
1787551800,bedroom,20.4,90.7,1972,,,,,,,3.423,0
1787551920,local,21.5,87.8,2230,,5.1,,,165,1,,0
1787552040,local,21.5,87.9,2234,,5.0,,,165,1,,0
1787552160,local,21.5,88.0,2239,,5.0,,,165,1,,0
1787552160,bedroom,20.3,91.0,1983,,,,,,,3.423,0
1787552280,local,21.4,88.0,2244,,5.0,,,165,1,,0
1787552400,local,21.4,88.0,2248,,5.0,,,166,1,,0
1787552400,bedroom,20.2,91.0,1991,,,,,,,3.422,0
1787552520,local,21.4,88.0,2252,,5.0,,,166,1,,0
1787552640,local,21.3,88.0,2257,,5.0,,,166,1,,0
1787552760,local,21.3,88.0,2261,,5.0,,,166,1,,0
1787552760,bedroom,20.1,91.0,2002,,,,,,,3.421,0
1787552880,local,21.3,88.0,2266,,5.0,,,166,1,,0
1787553000,local,21.3,88.0,2270,,5.0,,,166,1,,0
1787553000,bedroom,20.1,91.0,2010,,,,,,,3.420,0
1787553120,local,21.2,88.0,2275,,5.0,,,166,1,,0
1787553240,local,21.2,88.0,2279,,5.0,,,166,1,,0
1787553360,local,21.2,88.0,2283,,5.0,,,166,1,,0
1787553360,bedroom,20.0,91.0,2021,,,,,,,3.420,0
1787553480,local,21.2,88.0,2288,,5.0,,,167,1,,0
1787553600,local,21.1,88.0,2292,,5.0,,,167,1,,0
1787553600,bedroom,19.9,91.0,2028,,,,,,,3.419,0
1787553720,local,21.1,88.0,2296,,4.9,,,167,1,,0
1787553840,local,21.1,88.0,2300,,4.9,,,167,1,,0
1787553960,local,21.0,88.0,2304,,4.9,,,167,1,,0
1787553960,bedroom,19.8,91.0,2039,,,,,,,3.418,0
1787554080,local,21.0,88.0,2308,,4.9,,,167,1,,0
1787554200,local,21.0,88.0,2313,,4.9,,,167,1,,0
1787554200,bedroom,19.8,91.0,2046,,,,,,,3.417,0
1787554320,local,21.0,88.0,2317,,4.9,,,167,1,,0
1787554440,local,20.9,88.0,2321,,4.9,,,168,1,,0
1787554560,local,20.9,88.0,2324,,4.9,,,168,1,,0
1787554560,bedroom,19.7,91.0,2056,,,,,,,3.416,0
1787554680,local,20.9,88.0,2328,,4.9,,,168,1,,0
1787554800,local,20.9,88.0,2332,,4.9,,,168,1,,0
1787554800,bedroom,19.7,91.0,2062,,,,,,,3.416,0
1787554920,local,20.8,88.0,2336,,4.9,,,168,1,,0
1787555040,local,20.8,88.0,2340,,4.8,,,168,1,,0
1787555160,local,20.8,88.0,2343,,4.8,,,168,1,,0
1787555160,bedroom,19.6,91.0,2072,,,,,,,3.415,0
1787555280,local,20.8,88.0,2347,,4.8,,,168,1,,0
1787555400,local,20.7,88.0,2350,,4.8,,,168,1,,0
1787555400,bedroom,19.5,91.0,2078,,,,,,,3.414,0
1787555520,local,20.7,88.0,2354,,4.8,,,169,1,,0
1787555640,local,20.7,88.0,2357,,4.8,,,169,1,,0
1787555760,local,20.7,88.0,2361,,4.8,,,169,1,,0
1787555760,bedroom,19.5,91.0,2087,,,,,,,3.413,0
1787555880,local,20.6,88.0,2364,,4.8,,,169,1,,0
1787556000,local,20.6,88.0,2367,,4.8,,,169,1,,0
1787556000,bedroom,19.4,91.0,2092,,,,,,,3.413,0
1787556120,local,20.6,88.0,2370,,4.8,,,169,1,,0
1787556240,local,20.6,88.0,2374,,4.7,,,169,1,,0
1787556360,local,20.6,88.0,2377,,4.7,,,169,1,,0
1787556360,bedroom,19.4,91.0,2100,,,,,,,3.412,0
1787556480,local,20.5,88.0,2379,,4.7,,,169,1,,0
1787556600,local,20.5,88.0,2382,,4.7,,,169,1,,0
1787556600,bedroom,19.3,91.0,2105,,,,,,,3.411,0
1787556720,local,20.5,88.0,2385,,4.7,,,170,1,,0
1787556840,local,20.5,88.0,2388,,4.7,,,170,1,,0
1787556960,local,20.5,88.0,2391,,4.7,,,170,1,,0
1787556960,bedroom,19.3,91.0,2112,,,,,,,3.410,0
1787557080,local,20.4,88.0,2393,,4.7,,,170,1,,0
1787557200,local,20.4,88.0,2396,,4.7,,,170,1,,0
1787557200,bedroom,19.2,91.0,2116,,,,,,,3.410,0
1787557320,local,20.4,88.0,2398,,4.7,,,170,1,,0
1787557440,local,20.4,88.0,2400,,4.6,,,170,1,,0
1787557560,local,20.4,88.0,2403,,4.6,,,170,1,,0
1787557560,bedroom,19.2,91.0,2122,,,,,,,3.409,0
1787557680,local,20.4,88.0,2405,,4.6,,,170,1,,0
1787557800,local,20.3,88.0,2407,,4.6,,,170,1,,0
1787557800,bedroom,19.1,91.0,2126,,,,,,,3.408,0
1787557920,local,20.3,88.0,2409,,4.6,,,171,1,,0
1787558040,local,20.3,88.0,2411,,4.6,,,171,1,,0
1787558160,local,20.3,88.0,2413,,4.6,,,171,1,,0
1787558160,bedroom,19.1,91.0,2131,,,,,,,3.407,0
1787558280,local,20.3,88.0,2415,,4.6,,,171,1,,0
1787558400,local,20.3,88.0,2417,,4.5,,,171,1,,0
1787558400,bedroom,19.1,91.0,2134,,,,,,,3.407,0
1787558520,local,20.2,88.0,2418,,4.5,,,171,1,,0
1787558640,local,20.2,88.0,2420,,4.5,,,171,1,,0
1787558760,local,20.2,88.0,2421,,4.5,,,171,1,,0
1787558760,bedroom,19.0,91.0,2138,,,,,,,3.406,0
1787558880,local,20.2,88.0,2423,,4.5,,,171,1,,0
1787559000,local,20.2,88.0,2424,,4.5,,,171,1,,0
1787559000,bedroom,19.0,91.0,2141,,,,,,,3.405,0
1787559120,local,20.2,88.0,2426,,4.5,,,172,1,,0
1787559240,local,20.2,88.0,2427,,4.5,,,172,1,,0
1787559360,local,20.2,88.0,2428,,4.5,,,172,1,,0
1787559360,bedroom,19.0,91.0,2144,,,,,,,3.404,0
1787559480,local,20.2,88.0,2429,,4.4,,,172,1,,0
1787559600,local,20.1,88.0,2430,,4.4,,,172,1,,0
1787559600,bedroom,18.9,91.0,2146,,,,,,,3.404,0
1787559720,local,20.1,88.0,2431,,4.4,,,172,1,,0
1787559840,local,20.1,88.0,2432,,4.4,,,172,1,,0
1787559960,local,20.1,88.0,2433,,4.4,,,172,1,,0
1787559960,bedroom,18.9,91.0,2148,,,,,,,3.403,0
1787560080,local,20.1,88.0,2434,,4.4,,,172,1,,0
1787560200,local,20.1,88.0,2434,,4.4,,,172,1,,0
1787560200,bedroom,18.9,91.0,2149,,,,,,,3.402,0
1787560320,local,20.1,88.0,2435,,4.4,,,173,1,,0
1787560440,local,20.1,88.0,2436,,4.3,,,173,1,,0
1787560560,local,20.1,88.0,2436,,4.3,,,173,1,,0
1787560560,bedroom,18.9,91.0,2151,,,,,,,3.401,0
1787560680,local,20.1,88.0,2437,,4.3,,,173,1,,0
1787560800,local,20.1,88.0,2437,,4.3,,,173,1,,0
1787560800,bedroom,18.9,91.0,2152,,,,,,,3.401,0
1787560920,local,20.1,88.0,2437,,4.3,,,173,1,,0
1787561040,local,20.1,88.0,2438,,4.3,,,173,1,,0
1787561160,local,20.1,88.0,2438,,4.3,,,173,1,,0
1787561160,bedroom,18.9,91.0,2152,,,,,,,3.400,0
1787561280,local,20.1,88.0,2438,,4.2,,,173,1,,0
1787561400,local,20.1,88.0,2438,,4.2,,,173,1,,0
1787561400,bedroom,18.9,91.0,2153,,,,,,,3.399,0
1787561520,local,20.1,88.0,2439,,4.2,,,173,1,,0
1787561640,local,20.1,88.0,2439,,4.2,,,173,1,,0
1787561760,local,20.1,88.0,2439,,4.2,,,174,1,,0
1787561760,bedroom,18.9,91.0,2153,,,,,,,3.398,0
1787561880,local,20.1,88.0,2439,,4.2,,,174,1,,0
1787562000,local,20.1,88.0,2439,,4.2,,,174,1,,0
1787562000,bedroom,18.9,91.0,2153,,,,,,,3.397,0
1787562120,local,20.1,88.0,2439,,4.2,,,174,1,,0
1787562240,local,20.1,88.0,2438,,4.1,,,174,1,,0
1787562360,local,20.1,88.0,2438,,4.1,,,174,1,,0
1787562360,bedroom,18.9,91.0,2153,,,,,,,3.397,0
1787562480,local,20.1,88.0,2438,,4.1,,,174,1,,0
1787562600,local,20.1,88.0,2438,,4.1,,,174,1,,0
1787562600,bedroom,18.9,91.0,2152,,,,,,,3.396,0
1787562720,local,20.1,88.0,2438,,4.1,,,174,1,,0
1787562840,local,20.1,88.0,2438,,4.1,,,174,1,,0
1787562960,local,20.1,88.0,2437,,4.1,,,174,1,,0
1787562960,bedroom,18.9,91.0,2152,,,,,,,3.395,0
1787563080,local,20.1,88.0,2437,,4.0,,,174,1,,0
1787563200,local,20.1,88.0,2437,,4.0,,,175,1,,0
1787563200,bedroom,18.9,91.0,2151,,,,,,,3.394,0
1787563320,local,20.1,88.0,2436,,4.0,,,175,1,,0
1787563440,local,20.1,88.0,2436,,4.0,,,175,1,,0
1787563560,local,20.2,88.0,2436,,4.0,,,175,1,,0
1787563560,bedroom,19.0,91.0,2150,,,,,,,3.394,0
1787563680,local,20.2,88.0,2435,,4.0,,,175,1,,0
1787563800,local,20.2,88.0,2435,,4.0,,,175,1,,0
1787563800,bedroom,19.0,91.0,2150,,,,,,,3.393,0
1787563920,local,20.2,88.0,2435,,4.0,,,175,1,,0
1787564040,local,20.2,88.0,2434,,3.9,,,175,1,,0
1787564160,local,20.2,88.0,2434,,3.9,,,175,1,,0
1787564160,bedroom,19.0,91.0,2149,,,,,,,3.392,0
1787564280,local,20.2,88.0,2434,,3.9,,,175,1,,0
1787564400,local,20.2,88.0,2433,,3.9,,,175,1,,0
1787564400,bedroom,19.0,91.0,2148,,,,,,,3.391,0
1787564520,local,20.2,88.0,2433,,3.9,,,175,1,,0
1787564640,local,20.3,88.0,2433,,3.9,,,176,1,,0
1787564760,local,20.3,88.0,2433,,3.9,,,176,1,,0
1787564760,bedroom,19.1,91.0,2148,,,,,,,3.390,0
1787564880,local,20.3,88.0,2432,,3.9,,,176,1,,0
1787565000,local,20.3,88.0,2432,,3.8,,,176,1,,0
1787565000,bedroom,19.1,91.0,2147,,,,,,,3.390,0
1787565120,local,20.3,88.0,2432,,3.8,,,176,1,,0
1787565240,local,20.3,88.0,2432,,3.8,,,176,1,,0
1787565360,local,20.3,88.0,2431,,3.8,,,176,1,,0
1787565360,bedroom,19.1,91.0,2147,,,,,,,3.389,0
1787565480,local,20.4,88.0,2431,,3.8,,,176,1,,0
1787565600,local,20.4,88.0,2431,,3.8,,,176,1,,0
1787565600,bedroom,19.2,91.0,2146,,,,,,,3.388,0
1787565720,local,20.4,88.0,2431,,3.8,,,176,1,,0
1787565840,local,20.4,88.0,2431,,3.7,,,176,1,,0
1787565960,local,20.4,88.0,2431,,3.7,,,176,1,,0
1787565960,bedroom,19.2,91.0,2146,,,,,,,3.387,0
1787566080,local,20.5,88.0,2431,,3.7,,,176,1,,0
1787566200,local,20.5,88.0,2431,,3.7,,,176,1,,0
1787566200,bedroom,19.3,91.0,2146,,,,,,,3.387,0
1787566320,local,20.5,88.0,2431,,3.7,,,177,1,,0
1787566440,local,20.5,88.0,2431,,3.7,,,177,1,,0
