ts,src,tc,rh,co2,pm1,pm25,pm4,pm10,voc,nox,vb,flags
1787365200,bedroom,21.0,50.5,675,,,,,,,3.899,0
1787365320,local,22.2,47.5,700,,4.9,,,100,1,,0
1787365440,local,22.2,47.6,700,,4.9,,,100,1,,0
1787365560,local,22.2,47.6,699,,4.9,,,100,1,,0
1787365560,bedroom,21.0,50.6,674,,,,,,,3.898,0
1787365680,local,22.2,47.6,698,,4.9,,,100,1,,0
1787365800,local,22.2,47.6,698,,4.9,,,100,1,,0
1787365800,bedroom,21.0,50.6,673,,,,,,,3.897,0
1787365920,local,22.2,47.6,697,,4.9,,,100,1,,0
1787366040,local,22.3,47.7,696,,4.9,,,100,1,,0
1787366160,local,22.3,47.7,696,,4.9,,,100,1,,0
1787366160,bedroom,21.1,50.7,671,,,,,,,3.896,0
1787366280,local,22.3,47.7,695,,4.9,,,100,1,,0
1787366400,local,22.3,47.7,694,,4.9,,,100,1,,0
1787366400,bedroom,21.1,50.7,670,,,,,,,3.896,0
1787366520,local,22.3,47.7,693,,4.9,,,100,1,,0
1787366640,local,22.3,47.8,692,,4.9,,,100,1,,0
1787366760,local,22.3,47.8,691,,5.0,,,100,1,,0
1787366760,bedroom,21.1,50.8,668,,,,,,,3.895,0
1787366880,local,22.3,47.8,690,,5.0,,,100,1,,0
1787367000,local,22.3,47.8,689,,5.0,,,100,1,,0
1787367000,bedroom,21.1,50.8,666,,,,,,,3.894,0
1787367120,local,22.3,47.8,688,,5.0,,,100,1,,0
1787367240,local,22.3,47.9,687,,5.0,,,100,1,,0
1787367360,local,22.3,47.9,686,,5.0,,,101,1,,0
1787367360,bedroom,21.1,50.9,663,,,,,,,3.893,0
1787367480,local,22.3,47.9,685,,5.0,,,101,1,,0
1787367600,local,22.3,47.9,684,,5.0,,,101,1,,0
1787367600,bedroom,21.1,50.9,661,,,,,,,3.893,0
1787367720,local,22.3,47.9,683,,5.0,,,101,1,,0
1787367840,local,22.3,48.0,682,,5.0,,,101,1,,0
1787367960,local,22.3,48.0,680,,5.0,,,101,1,,0
1787367960,bedroom,21.1,51.0,658,,,,,,,3.892,0
1787368080,local,22.3,48.0,679,,5.0,,,101,1,,0
1787368200,local,22.3,48.0,678,,5.0,,,101,1,,0
1787368200,bedroom,21.1,51.0,656,,,,,,,3.891,0
1787368320,local,22.3,48.0,677,,5.1,,,101,1,,0
1787368440,local,22.3,48.1,676,,5.1,,,101,1,,0
1787368560,local,22.3,48.1,675,,5.1,,,101,1,,0
1787368560,bedroom,21.1,51.1,653,,,,,,,3.890,0
1787368680,local,22.3,48.1,673,,5.1,,,101,1,,0
1787368800,local,22.3,48.1,672,,5.1,,,101,1,,0
1787368800,bedroom,21.1,51.1,651,,,,,,,3.889,0
1787368920,local,22.3,48.1,671,,5.1,,,101,1,,0
1787369040,local,22.3,48.1,670,,5.1,,,101,1,,0
1787369160,local,22.3,48.2,669,,5.1,,,101,1,,0
1787369160,bedroom,21.1,51.2,648,,,,,,,3.889,0
1787369280,local,22.2,48.2,668,,5.1,,,101,1,,0
1787369400,local,22.2,48.2,666,,5.1,,,101,1,,0
1787369400,bedroom,21.0,51.2,646,,,,,,,3.888,0
1787369520,local,22.2,48.2,665,,5.1,,,101,1,,0
1787369640,local,22.2,48.2,664,,5.1,,,102,1,,0
1787369760,local,22.2,48.3,663,,5.1,,,102,1,,0
1787369760,bedroom,21.0,51.3,644,,,,,,,3.887,0
1787369880,local,22.2,48.3,662,,5.1,,,102,1,,0
1787370000,local,22.2,48.3,661,,5.1,,,102,1,,0
1787370000,bedroom,21.0,51.3,642,,,,,,,3.886,0
1787370120,local,22.2,48.3,660,,5.1,,,102,1,,0
1787370240,local,22.2,48.3,659,,5.1,,,102,1,,0
1787370360,local,22.2,48.3,658,,5.1,,,102,1,,0
1787370360,bedroom,21.0,51.3,639,,,,,,,3.885,0
1787370480,local,22.1,48.4,657,,5.1,,,102,1,,0
1787370600,local,22.1,48.4,656,,5.1,,,102,1,,0
1787370600,bedroom,20.9,51.4,638,,,,,,,3.885,0
1787370720,local,22.1,48.4,655,,5.2,,,102,1,,0
1787370840,local,22.1,48.4,655,,5.2,,,102,1,,0
1787370960,local,22.1,48.4,654,,5.2,,,102,1,,0
1787370960,bedroom,20.9,51.4,636,,,,,,,3.884,0
1787371080,local,22.1,48.5,653,,5.2,,,102,1,,0
1787371200,local,22.1,48.5,652,,5.2,,,102,1,,0
1787371200,bedroom,20.9,51.5,635,,,,,,,3.883,0
1787371320,local,22.0,48.5,652,,5.2,,,102,1,,0
1787371440,local,22.0,48.5,651,,5.2,,,102,1,,0
1787371560,local,22.0,48.5,651,,5.2,,,102,1,,0
1787371560,bedroom,20.8,51.5,633,,,,,,,3.882,0
1787371680,local,22.0,48.5,650,,5.2,,,102,1,,0
1787371800,local,22.0,48.6,650,,5.2,,,102,1,,0
1787371800,bedroom,20.8,51.6,632,,,,,,,3.882,0
1787371920,local,22.0,48.6,649,,5.2,,,102,1,,0
1787372040,local,21.9,48.6,649,,5.2,,,102,1,,0
1787372160,local,21.9,48.6,648,,5.2,,,103,1,,0
1787372160,bedroom,20.7,51.6,631,,,,,,,3.881,0
1787372280,local,21.9,48.6,648,,5.2,,,103,1,,0
1787372400,local,21.9,48.6,648,,5.2,,,103,1,,0
1787372400,bedroom,20.7,51.6,631,,,,,,,3.880,0
1787372520,local,21.9,48.7,648,,5.2,,,103,1,,0
1787372640,local,21.8,48.7,648,,5.2,,,103,1,,0
1787372760,local,21.8,48.7,648,,5.2,,,103,1,,0
1787372760,bedroom,20.6,51.7,630,,,,,,,3.879,0
1787372880,local,21.8,48.7,648,,5.2,,,103,1,,0
1787373000,local,21.8,48.7,648,,5.2,,,103,1,,0
1787373000,bedroom,20.6,51.7,631,,,,,,,3.879,0
1787373120,local,21.8,48.7,648,,5.2,,,103,1,,0
1787373240,local,21.7,48.8,648,,5.2,,,103,1,,0
1787373360,local,21.7,48.8,648,,5.2,,,103,1,,0
1787373360,bedroom,20.5,51.8,631,,,,,,,3.878,0
1787373480,local,21.7,48.8,648,,5.2,,,103,1,,0
1787373600,local,21.7,48.8,649,,5.2,,,103,1,,0
1787373600,bedroom,20.5,51.8,631,,,,,,,3.877,0
1787373720,local,21.6,48.8,649,,5.2,,,103,1,,0
1787373840,local,21.6,48.8,650,,5.2,,,103,1,,0
1787373960,local,21.6,48.9,650,,5.2,,,103,1,,0
1787373960,bedroom,20.4,51.9,633,,,,,,,3.876,0
1787374080,local,21.6,48.9,651,,5.2,,,103,1,,0
1787374200,local,21.5,48.9,651,,5.2,,,103,1,,0
1787374200,bedroom,20.3,51.9,634,,,,,,,3.876,0
1787374320,local,21.5,48.9,652,,5.2,,,103,1,,0
1787374440,local,21.5,48.9,653,,5.2,,,103,1,,0
1787374560,local,21.5,48.9,654,,5.2,,,103,1,,0
1787374560,bedroom,20.3,51.9,636,,,,,,,3.875,0
1787374680,local,21.4,48.9,654,,5.2,,,103,1,,0
1787374800,local,21.4,49.0,655,,5.2,,,103,1,,0
1787374800,bedroom,20.2,52.0,637,,,,,,,3.874,0
1787374920,local,21.4,49.0,656,,5.2,,,103,1,,0
1787375040,local,21.3,49.0,657,,5.2,,,103,1,,0
1787375160,local,21.3,49.0,658,,5.2,,,104,1,,0
1787375160,bedroom,20.1,52.0,640,,,,,,,3.873,0
1787375280,local,21.3,49.0,659,,5.2,,,104,1,,0
1787375400,local,21.3,49.0,661,,5.2,,,104,1,,0
1787375400,bedroom,20.1,52.0,642,,,,,,,3.873,0
1787375520,local,21.2,49.0,662,,5.2,,,104,1,,0
1787375640,local,21.2,49.1,663,,5.2,,,104,1,,0
1787375760,local,21.2,49.1,664,,5.2,,,104,1,,0
1787375760,bedroom,20.0,52.1,645,,,,,,,3.872,0
1787375880,local,21.1,49.1,666,,5.2,,,104,1,,0
1787376000,local,21.1,49.1,667,,5.2,,,104,1,,0
1787376000,bedroom,19.9,52.1,647,,,,,,,3.871,0
1787376120,local,21.1,49.1,669,,5.2,,,104,1,,0
1787376240,local,21.1,49.1,670,,5.2,,,104,1,,0
1787376360,local,21.0,49.1,672,,5.2,,,104,1,,0
1787376360,bedroom,19.8,52.1,651,,,,,,,3.870,0
1787376480,local,21.0,49.2,673,,5.2,,,104,1,,0
1787376600,local,21.0,49.2,675,,5.2,,,104,1,,0
1787376600,bedroom,19.8,52.2,654,,,,,,,3.870,0
1787376720,local,20.9,49.2,677,,5.2,,,104,1,,0
1787376840,local,20.9,49.2,678,,5.2,,,104,1,,0
1787376960,local,20.9,49.2,680,,5.1,,,104,1,,0
1787376960,bedroom,19.7,52.2,658,,,,,,,3.869,0
1787377080,local,20.8,49.2,682,,5.1,,,104,1,,0
1787377200,local,20.8,49.2,684,,5.1,,,104,1,,0
1787377200,bedroom,19.6,52.2,661,,,,,,,3.868,0
1787377320,local,20.8,49.3,685,,5.1,,,104,1,,0
1787377440,local,20.8,49.3,687,,5.1,,,104,1,,0
1787377560,local,20.7,49.3,689,,5.1,,,104,1,,0
1787377560,bedroom,19.5,52.3,666,,,,,,,3.867,0
1787377680,local,20.7,49.3,691,,5.1,,,104,1,,0
1787377800,local,20.7,49.3,693,,5.1,,,104,1,,0
1787377800,bedroom,19.5,52.3,669,,,,,,,3.867,0
1787377920,local,20.6,49.3,695,,5.1,,,104,1,,0
1787378040,local,20.6,49.3,697,,5.1,,,104,1,,0
1787378160,local,20.6,49.3,699,,5.1,,,104,1,,0
1787378160,bedroom,19.4,52.3,674,,,,,,,3.866,0
1787378280,local,20.5,49.4,701,,5.1,,,104,1,,0
1787378400,local,20.5,49.4,703,,5.1,,,104,1,,0
1787378400,bedroom,19.3,52.4,677,,,,,,,3.865,0
1787378520,local,20.5,49.4,705,,5.1,,,104,1,,0
1787378640,local,20.4,49.4,707,,5.1,,,104,1,,0
1787378760,local,20.4,49.4,709,,5.1,,,104,1,,0
1787378760,bedroom,19.2,52.4,683,,,,,,,3.864,0
1787378880,local,20.4,49.4,711,,5.1,,,104,1,,0
1787379000,local,20.3,49.4,713,,5.1,,,104,1,,0
1787379000,bedroom,19.1,52.4,686,,,,,,,3.863,0
1787379120,local,20.3,49.4,715,,5.1,,,104,1,,0
1787379240,local,20.3,49.4,717,,5.0,,,104,1,,0
1787379360,local,20.2,49.5,719,,5.0,,,105,1,,0
1787379360,bedroom,19.0,52.5,691,,,,,,,3.863,0
1787379480,local,20.2,49.5,721,,5.0,,,105,1,,0
1787379600,local,20.2,49.5,723,,5.0,,,105,1,,0
1787379600,bedroom,19.0,52.5,695,,,,,,,3.862,0
1787379720,local,20.2,49.5,725,,5.0,,,105,1,,0
1787379840,local,20.1,49.5,727,,5.0,,,105,1,,0
1787379960,local,20.1,49.5,729,,5.0,,,105,1,,0
1787379960,bedroom,18.9,52.5,700,,,,,,,3.861,0
1787380080,local,20.1,49.5,731,,5.0,,,105,1,,0
1787380200,local,20.0,49.5,733,,5.0,,,105,1,,0
1787380200,bedroom,18.8,52.5,703,,,,,,,3.860,0
1787380320,local,20.0,49.5,735,,5.0,,,105,1,,0
1787380440,local,20.0,49.6,736,,5.0,,,105,1,,0
1787380560,local,19.9,49.6,738,,5.0,,,105,1,,0
1787380560,bedroom,18.7,52.6,708,,,,,,,3.859,0
1787380680,local,19.9,49.6,740,,5.0,,,105,1,,0
1787380800,local,19.9,49.6,742,,5.0,,,105,1,,0
1787380800,bedroom,18.7,52.6,711,,,,,,,3.859,0
1787380920,local,19.9,49.6,744,,4.9,,,105,1,,0
1787381040,local,19.8,49.6,745,,4.9,,,105,1,,0
1787381160,local,19.8,49.6,747,,4.9,,,105,1,,0
1787381160,bedroom,18.6,52.6,715,,,,,,,3.858,0
1787381280,local,19.8,49.6,748,,4.9,,,105,1,,0
1787381400,local,19.7,49.6,750,,4.9,,,105,1,,0
1787381400,bedroom,18.5,52.6,718,,,,,,,3.857,0
1787381520,local,19.7,49.6,752,,4.9,,,105,1,,0
1787381640,local,19.7,49.7,753,,4.9,,,105,1,,0
1787381760,local,19.7,49.7,754,,4.9,,,105,1,,0
1787381760,bedroom,18.5,52.7,721,,,,,,,3.856,0
1787381880,local,19.6,49.7,756,,4.9,,,105,1,,0
1787382000,local,19.6,49.7,757,,4.9,,,105,1,,0
1787382000,bedroom,18.4,52.7,724,,,,,,,3.856,0
1787382120,local,19.6,49.7,758,,4.9,,,105,1,,0
1787382240,local,19.5,49.7,760,,4.8,,,105,1,,0
1787382360,local,19.5,49.7,761,,4.8,,,105,1,,0
1787382360,bedroom,18.3,52.7,727,,,,,,,3.855,0
1787382480,local,19.5,49.7,762,,4.8,,,105,1,,0
1787382600,local,19.5,49.7,763,,4.8,,,105,1,,0
1787382600,bedroom,18.3,52.7,729,,,,,,,3.854,0
1787382720,local,19.4,49.7,764,,4.8,,,105,1,,0
1787382840,local,19.4,49.7,765,,4.8,,,105,1,,0
1787382960,local,19.4,49.7,766,,4.8,,,105,1,,0
1787382960,bedroom,18.2,52.7,731,,,,,,,3.853,0
1787383080,local,19.4,49.8,767,,4.8,,,105,1,,0
1787383200,local,19.3,49.8,767,,4.8,,,105,1,,0
1787383200,bedroom,18.1,52.8,732,,,,,,,3.853,0
1787383320,local,19.3,49.8,768,,4.8,,,105,1,,0
1787383440,local,19.3,49.8,769,,4.7,,,105,1,,0
1787383560,local,19.3,49.8,769,,4.7,,,105,1,,0
1787383560,bedroom,18.1,52.8,734,,,,,,,3.852,0
1787383680,local,19.2,49.8,769,,4.7,,,105,1,,0
1787383800,local,19.2,49.8,770,,4.7,,,105,1,,0
1787383800,bedroom,18.0,52.8,734,,,,,,,3.851,0
1787383920,local,19.2,49.8,770,,4.7,,,105,1,,0
1787384040,local,19.2,49.8,770,,4.7,,,105,1,,0
1787384160,local,19.2,49.8,771,,4.7,,,105,1,,0
1787384160,bedroom,18.0,52.8,735,,,,,,,3.850,0
1787384280,local,19.1,49.8,771,,4.7,,,105,1,,0
1787384400,local,19.1,49.8,771,,4.7,,,105,1,,0
1787384400,bedroom,17.9,52.8,735,,,,,,,3.850,0
1787384520,local,19.1,49.8,771,,4.7,,,105,1,,0
1787384640,local,19.1,49.8,770,,4.6,,,105,1,,0
1787384760,local,19.1,49.8,770,,4.6,,,105,1,,0
1787384760,bedroom,17.9,52.8,735,,,,,,,3.849,0
1787384880,local,19.0,49.9,770,,4.6,,,105,1,,0
1787385000,local,19.0,49.9,770,,4.6,,,105,1,,0
1787385000,bedroom,17.8,52.9,734,,,,,,,3.848,0
1787385120,local,19.0,49.9,769,,4.6,,,105,1,,0
1787385240,local,19.0,49.9,769,,4.6,,,105,1,,0
1787385360,local,19.0,49.9,768,,4.6,,,105,1,,0
1787385360,bedroom,17.8,52.9,733,,,,,,,3.847,0
1787385480,local,19.0,49.9,767,,4.6,,,105,1,,0
1787385600,local,18.9,49.9,767,,4.5,,,105,1,,0
1787385600,bedroom,17.7,52.9,732,,,,,,,3.847,0
1787385720,local,18.9,49.9,766,,4.5,,,105,1,,0
1787385840,local,18.9,49.9,765,,4.5,,,105,1,,0
1787385960,local,18.9,49.9,764,,4.5,,,105,1,,0
1787385960,bedroom,17.7,52.9,729,,,,,,,3.846,0
1787386080,local,18.9,49.9,763,,4.5,,,105,1,,0
1787386200,local,18.9,49.9,762,,4.5,,,105,1,,0
1787386200,bedroom,17.7,52.9,728,,,,,,,3.845,0
1787386320,local,18.9,49.9,761,,4.5,,,105,1,,0
1787386440,local,18.8,49.9,759,,4.5,,,105,1,,0
1787386560,local,18.8,49.9,758,,4.5,,,105,1,,0
1787386560,bedroom,17.6,52.9,724,,,,,,,3.844,0
1787386680,local,18.8,49.9,757,,4.4,,,105,1,,0
1787386800,local,18.8,49.9,755,,4.4,,,105,1,,0
1787386800,bedroom,17.6,52.9,722,,,,,,,3.844,0
1787386920,local,18.8,49.9,754,,4.4,,,105,1,,0
1787387040,local,18.8,49.9,752,,4.4,,,105,1,,0
1787387160,local,18.8,49.9,750,,4.4,,,105,1,,0
1787387160,bedroom,17.6,52.9,718,,,,,,,3.843,0
1787387280,local,18.8,49.9,749,,4.4,,,105,1,,0
1787387400,local,18.8,50.0,747,,4.4,,,105,1,,0
1787387400,bedroom,17.6,53.0,715,,,,,,,3.842,0
1787387520,local,18.8,50.0,745,,4.4,,,105,1,,0
1787387640,local,18.7,50.0,743,,4.3,,,105,1,,0
1787387760,local,18.7,50.0,741,,4.3,,,105,1,,0
1787387760,bedroom,17.5,53.0,710,,,,,,,3.841,0
1787387880,local,18.7,50.0,739,,4.3,,,105,1,,0
1787388000,local,18.7,50.0,737,,4.3,,,105,1,,0
1787388000,bedroom,17.5,53.0,707,,,,,,,3.841,0
1787388120,local,18.7,50.0,735,,4.3,,,105,1,,0
1787388240,local,18.7,50.0,733,,4.3,,,105,1,,0
1787388360,local,18.7,50.0,731,,4.3,,,105,1,,0
1787388360,bedroom,17.5,53.0,701,,,,,,,3.840,0
1787388480,local,18.7,50.0,728,,4.2,,,105,1,,0
1787388600,local,18.7,50.0,726,,4.2,,,105,1,,0
1787388600,bedroom,17.5,53.0,697,,,,,,,3.839,0
1787388720,local,18.7,50.0,724,,4.2,,,105,1,,0
1787388840,local,18.7,50.0,721,,4.2,,,105,1,,0
1787388960,local,18.7,50.0,719,,4.2,,,105,1,,0
1787388960,bedroom,17.5,53.0,691,,,,,,,3.838,0
1787389080,local,18.7,50.0,716,,4.2,,,105,1,,0
1787389200,local,18.7,50.0,714,,4.2,,,105,1,,0
1787389200,bedroom,17.5,53.0,687,,,,,,,3.837,0
1787389320,local,18.7,50.0,711,,4.2,,,105,1,,0
1787389440,local,18.7,50.0,708,,4.1,,,105,1,,0
1787389560,local,18.7,50.0,706,,4.1,,,105,1,,0
1787389560,bedroom,17.5,53.0,680,,,,,,,3.837,0
1787389680,local,18.7,50.0,703,,4.1,,,105,1,,0
1787389800,local,18.7,50.0,700,,4.1,,,105,1,,0
1787389800,bedroom,17.5,53.0,675,,,,,,,3.836,0
1787389920,local,18.7,50.0,698,,4.1,,,105,1,,0
1787390040,local,18.7,50.0,695,,4.1,,,105,1,,0
1787390160,local,18.7,50.0,692,,4.1,,,105,1,,0
1787390160,bedroom,17.5,53.0,668,,,,,,,3.835,0
1787390280,local,18.7,50.0,690,,4.0,,,105,1,,0
1787390400,local,18.7,50.0,687,,4.0,,,105,1,,0
1787390400,bedroom,17.5,53.0,664,,,,,,,3.834,0
1787390520,local,18.7,50.0,684,,4.0,,,105,1,,0
1787390640,local,18.7,50.0,681,,4.0,,,105,1,,0
1787390760,local,18.7,50.0,678,,4.0,,,105,1,,0
1787390760,bedroom,17.5,53.0,657,,,,,,,3.834,0
1787390880,local,18.8,50.0,675,,4.0,,,104,1,,0
1787391000,local,18.8,50.0,673,,4.0,,,104,1,,0
1787391000,bedroom,17.6,53.0,652,,,,,,,3.833,0
1787391120,local,18.8,50.0,670,,4.0,,,104,1,,0
1787391240,local,18.8,50.0,667,,3.9,,,104,1,,0
1787391360,local,18.8,50.0,664,,3.9,,,104,1,,0
1787391360,bedroom,17.6,53.0,644,,,,,,,3.832,0
1787391480,local,18.8,50.0,661,,3.9,,,104,1,,0
1787391600,local,18.8,50.0,658,,3.9,,,104,1,,0
1787391600,bedroom,17.6,53.0,640,,,,,,,3.831,0
1787391720,local,18.8,50.0,656,,3.9,,,104,1,,0
1787391840,local,18.8,50.0,653,,3.9,,,104,1,,0
1787391960,local,18.8,50.0,650,,3.9,,,104,1,,0
1787391960,bedroom,17.6,53.0,633,,,,,,,3.830,0
1787392080,local,18.9,50.0,647,,3.9,,,104,1,,0
1787392200,local,18.9,50.0,645,,3.8,,,104,1,,0
1787392200,bedroom,17.7,53.0,628,,,,,,,3.830,0
1787392320,local,18.9,50.0,642,,3.8,,,104,1,,0
1787392440,local,18.9,50.0,639,,3.8,,,104,1,,0
1787392560,local,18.9,50.0,636,,3.8,,,104,1,,0
1787392560,bedroom,17.7,53.0,621,,,,,,,3.829,0
1787392680,local,18.9,50.0,634,,3.8,,,104,1,,0
1787392800,local,18.9,50.0,631,,3.8,,,104,1,,0
1787392800,bedroom,17.7,53.0,616,,,,,,,3.828,0
1787392920,local,19.0,50.0,629,,3.8,,,104,1,,0
1787393040,local,19.0,50.0,626,,3.7,,,104,1,,0
1787393160,local,19.0,50.0,623,,3.7,,,104,1,,0
1787393160,bedroom,17.8,53.0,610,,,,,,,3.827,0
1787393280,local,19.0,50.0,621,,3.7,,,104,1,,0
1787393400,local,19.0,50.0,619,,3.7,,,104,1,,0
1787393400,bedroom,17.8,53.0,606,,,,,,,3.827,0
1787393520,local,19.0,50.0,616,,3.7,,,104,1,,0
1787393640,local,19.1,50.0,614,,3.7,,,104,1,,0
1787393760,local,19.1,50.0,611,,3.7,,,104,1,,0
1787393760,bedroom,17.9,53.0,600,,,,,,,3.826,0
1787393880,local,19.1,50.0,609,,3.7,,,104,1,,0
1787394000,local,19.1,50.0,607,,3.6,,,104,1,,0
1787394000,bedroom,17.9,53.0,596,,,,,,,3.825,0
1787394120,local,19.1,50.0,605,,3.6,,,104,1,,0
1787394240,local,19.2,49.9,603,,3.6,,,104,1,,0
1787394360,local,19.2,49.9,600,,3.6,,,104,1,,0
1787394360,bedroom,18.0,52.9,590,,,,,,,3.824,0
1787394480,local,19.2,49.9,598,,3.6,,,104,1,,0
1787394600,local,19.2,49.9,596,,3.6,,,104,1,,0
1787394600,bedroom,18.0,52.9,587,,,,,,,3.824,0
1787394720,local,19.2,49.9,594,,3.6,,,104,1,,0
